"year","unitid","inst_name","state_name","years_after_entry","earnings_mean","earnings_sd"
"2014","104151","Arizona State University-Tempe","Arizona","10","55500","44200"
"2014","104151","Arizona State University-Tempe","Arizona","6","42200","29100"
"2014","104151","Arizona State University-Tempe","Arizona","8","48800","36000"
"2014","104179","University of Arizona","Arizona","10","56000","45300"
"2014","104179","University of Arizona","Arizona","6","41800","29200"
"2014","104179","University of Arizona","Arizona","8","48100","42500"
"2014","105297","Dine College","Arizona","10","23400","18300"
"2014","105297","Dine College","Arizona","6","19000","14900"
"2014","105297","Dine College","Arizona","8","22500","17700"
"2014","105330","Northern Arizona University","Arizona","10","44600","31600"
"2014","105330","Northern Arizona University","Arizona","6","36900","24700"
"2014","105330","Northern Arizona University","Arizona","8","40900","29900"
"2014","132693","Eastern Florida State College","Florida","10","34000","27400"
"2014","132693","Eastern Florida State College","Florida","6","26900","19000"
"2014","132693","Eastern Florida State College","Florida","8","30800","21500"
"2014","132709","Broward College","Florida","10","38700","26800"
"2014","132709","Broward College","Florida","6","29900","20800"
"2014","132709","Broward College","Florida","8","34100","23300"
"2014","132851","College of Central Florida","Florida","10","34900","25000"
"2014","132851","College of Central Florida","Florida","6","27500","20600"
"2014","132851","College of Central Florida","Florida","8","30800","20900"
"2014","132903","University of Central Florida","Florida","10","51200","36200"
"2014","132903","University of Central Florida","Florida","6","39900","29100"
"2014","132903","University of Central Florida","Florida","8","45400","28900"
"2014","133021","Chipola College","Florida","10","33600","26400"
"2014","133021","Chipola College","Florida","6","26700","21200"
"2014","133021","Chipola College","Florida","8","29800","22000"
"2014","133386","Daytona State College","Florida","10","32700","24800"
"2014","133386","Daytona State College","Florida","6","27400","19900"
"2014","133386","Daytona State College","Florida","8","30400","21700"
"2014","133508","Florida SouthWestern State College","Florida","10","38200","26900"
"2014","133508","Florida SouthWestern State College","Florida","6","31600","20100"
"2014","133508","Florida SouthWestern State College","Florida","8","34700","21400"
"2014","133650","Florida Agricultural and Mechanical University","Florida","10","44700","31700"
"2014","133650","Florida Agricultural and Mechanical University","Florida","6","31800","24500"
"2014","133650","Florida Agricultural and Mechanical University","Florida","8","39600","30800"
"2014","133669","Florida Atlantic University","Florida","10","48300","33800"
"2014","133669","Florida Atlantic University","Florida","6","38800","29300"
"2014","133669","Florida Atlantic University","Florida","8","44200","29900"
"2014","133702","Florida State College at Jacksonville","Florida","10","35800","28200"
"2014","133702","Florida State College at Jacksonville","Florida","6","30800","21600"
